State,year_month,abortions_per_1000_women_ages_1544,birth_rate_per_1000_women_1544,months_since_dobbs,telehealth_share,shield_law_state,shield_law_access,gestational_limit_weeks,single_mothers_median_monthly_income,infant_child_care_cost_burden,snap_participation_rate,tanf_one_parent_per1000_women_1544,medicaid_expansion_status,medicaid_abortion_funding_restrictions,RPP_all_items,state_unemployment_rate, minimum_wage ,census_region,CPI
AL,2022_04,0.66,4.50,-3,0%,0,0,20,"$1,998",33%,14.82%,1.82,0,1,88.021,2, $7.25 ,South,279.879
AL,2022_05,0.63,4.63,-2,0%,0,0,20,"$1,998",33%,14.91%,1.86,0,1,88.021,2.2, $7.25 ,South,283.307
AL,2022_06,0.52,4.75,-1,0%,0,0,20,"$1,998",33%,14.99%,1.92,0,1,88.021,3, $7.25 ,South,287.427
AL,2022_07,0.00,5.05,0,0%,0,0,0,"$1,998",33%,15.07%,2.00,0,1,88.021,2.9, $7.25 ,South,287.608
AL,2022_08,0.00,5.54,1,0%,0,0,0,"$1,998",33%,15.25%,2.15,0,1,88.021,2.9, $7.25 ,South,287.168
AL,2022_09,0.00,5.10,2,0%,0,0,0,"$1,998",33%,15.25%,2.27,0,1,88.021,2.4, $7.25 ,South,287.656
AL,2022_10,0.00,4.88,3,0%,0,0,0,"$1,998",33%,15.28%,2.26,0,1,88.021,2.4, $7.25 ,South,288.836
AL,2022_11,0.00,4.96,4,0%,0,0,0,"$1,998",33%,15.38%,2.30,0,1,88.021,2.2, $7.25 ,South,288.991
AL,2022_12,0.00,5.13,5,0%,0,0,0,"$1,998",33%,15.47%,2.41,0,1,88.021,2, $7.25 ,South,288.205
AL,2023_01,0.00,5.00,6,0%,0,0,0,"$2,207",33%,15.22%,2.31,0,1,89.097,2.6, $7.25 ,South,290.438
AL,2023_02,0.00,4.41,7,0%,0,0,0,"$2,207",33%,15.21%,2.24,0,1,89.097,2.5, $7.25 ,South,292.285
AL,2023_03,0.00,4.92,8,0%,0,0,0,"$2,207",33%,15.22%,2.12,0,1,89.097,2.2, $7.25 ,South,293.358
AL,2023_04,0.00,4.38,9,0%,0,0,0,"$2,207",33%,15.09%,2.00,0,1,89.097,1.8, $7.25 ,South,295.315
AL,2023_05,0.00,4.64,10,0%,0,0,0,"$2,207",33%,15.10%,2.04,0,1,89.097,2, $7.25 ,South,295.889
AL,2023_06,0.00,4.83,11,0%,0,0,0,"$2,207",33%,15.15%,2.04,0,1,89.097,2.7, $7.25 ,South,296.789
AL,2023_07,0.22,4.90,12,100%,0,0,0,"$2,207",33%,15.09%,2.04,0,1,89.097,2.6, $7.25 ,South,297.279
AL,2023_08,0.25,5.16,13,100%,0,0,0,"$2,207",33%,15.13%,2.14,0,1,89.097,2.8, $7.25 ,South,298.975
AL,2023_09,0.25,5.00,14,100%,0,0,0,"$2,207",33%,15.08%,2.14,0,1,89.097,2.6, $7.25 ,South,299.657
AL,2023_10,0.30,4.96,15,100%,0,0,0,"$2,207",33%,14.78%,2.23,0,1,89.097,2.6, $7.25 ,South,299.394
AL,2023_11,0.34,4.88,16,100%,0,0,0,"$2,207",33%,14.72%,2.36,0,1,89.097,2.5, $7.25 ,South,298.930
AL,2023_12,0.36,4.83,17,100%,0,0,0,"$2,207",33%,14.71%,2.52,0,1,89.097,2.6, $7.25 ,South,298.754
AL,2024_01,0.40,5.05,18,100%,0,0,0,"$2,458",29%,14.47%,2.51,0,1,88.823,3.2, $7.25 ,South,300.421
AL,2024_02,0.42,4.56,19,100%,0,0,0,"$2,458",29%,14.52%,2.50,0,1,88.823,3.2, $7.25 ,South,303.144
